Country Name,Country Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Afghanistan,AFG,0.0685918498095162,0.0618143486821932,0.0570508678938691,0.0437225883240311,0.0396443700468076,0.0314347557566158,0.0416412114461905,0.0461076124049689,0.0407273663448916,0.0548548300184902,0.0658159680411251,0.0881410538805383,0.158961557957085,0.249073529591755,0.30293638839023,0.425262104940417
Albania,ALB,0.636625312930768,0.490365059535664,0.560271437384331,0.960164411868586,0.978174680894664,1.05330417594038,1.22954070946998,1.4126971959616,1.37621273504355,1.41249821101668,1.29154796900433,1.50753581545156,1.58011328280597,1.53317809380571,1.51563205345928,1.60703771025689
Algeria,DZA,3.30246252197967,2.95087834912248,3.52969939558715,2.99411874278661,2.81977800680087,2.66832779788239,2.84002791213498,2.85641005188288,2.72701713810354,3.22015455926011,2.99026715435638,3.18997803716546,3.20518284146426,3.4284716394284,3.30991183050336,3.3160378920663
Andorra,ADO,6.61635376646809,7.14569660311472,7.57644628099174,8.00143389286327,8.018180706127,7.73765678028626,7.48409481181207,7.15914044635813,7.2088285229202,7.08812774706672,6.5534765451645,6.35086830509673,6.29612455615773,6.04917284788357,6.12477049005556,5.96868546996089
Angola,AGO,0.781484777478837,0.534831299647265,0.515117027342679,0.627072295591633,0.633625298649187,0.625351712298906,0.786223278204629,0.543083666763623,1.0866048972276,1.06941718451386,1.20087714742312,1.31109648310951,1.36942476939738,1.43087337329642,1.4016541694671,1.35400752956755
Antigua and Barbuda,ATG,4.59386433198092,4.67056152397829,4.49690052017357,4.58127852079799,4.43923861528951,4.36481284505901,4.53621142071723,4.80448432710373,4.98099561908025,4.97431114879186,5.0962895515593,5.56152469874522,5.6283186877563,5.90629200463499,6.01126867125973,5.8238043379617
Argentina,ARG,3.6481903578866,3.7583870219218,3.79878183008477,3.9698758629858,3.80697572496415,3.53953268794566,3.25331267076162,3.47503504028703,4.03240701268705,4.11163482404653,4.40452504186811,4.49683365506291,4.74417840089585,4.42796011269101,4.34227205162182,4.56204851225823
Armenia,ARM,0.821584565571898,1.04482523874541,1.09434274410384,0.988511936699614,1.12652945387306,1.1576079497104,0.998805808123983,1.12917350037215,1.2045669802398,1.44373095511419,1.45963690821378,1.69475525891389,1.8686110286656,1.46996097242582,1.42299837759187,1.67165692267883
Aruba,ABW,21.6418895366308,21.5006612285978,19.6215339841423,19.6525886477012,25.5476787954831,25.3824897194652,24.9755145007632,24.9090656084111,24.5105426262381,24.9645309953914,24.7667063373996,25.613714951886,24.7501332122911,24.8767058452315,24.182702245145,23.9224121017109
Australia,AUS,16.506005898094,16.5166496192688,16.9400074287852,17.192235231956,17.2025244087088,16.7350674805543,17.3723177992408,16.9061981664103,17.0303413257549,17.1743862651264,17.2938738229482,17.4670022470184,17.7040796829998,17.6318330513514,16.7109043539437,16.5192099166948
Austria,AUT,7.94399785802694,7.8696507711243,7.98789989305221,7.74709521285674,7.76235919419499,8.18000289220997,8.28731890060786,8.87466211278491,8.84400436810432,9.02774620133695,8.7335066306543,8.405092793226,8.26204603114632,7.6088512934235,8.12769286285823,7.76998342279337
Azerbaijan,AZE,4.05906621151617,3.80302274104551,4.0029756097561,3.57983539507062,3.66627102850185,3.54710548377552,3.62394434620868,3.71816992749663,3.86322963943899,4.09180192686952,4.6162998626916,3.55534009998485,4.05138348129721,3.56566821757272,3.38822587905988,3.6473791469432
"Bahamas, The",BHS,5.87925311495743,4.75357531153299,5.79025284946941,5.70837477688608,5.60099163788097,5.17743074111461,5.10013908205841,4.80793141561391,5.34350884699215,4.85602427386459,4.53186559897082,4.5213537116628,2.99808942961155,4.63052032245335,6.82932128703268,5.19984401885954
Bahrain,BHR,26.940217813074,28.9699833064028,29.7784222737819,28.1159705665747,27.9566442479999,20.0423173064054,21.6421070771267,21.6236936954681,21.670994283338,22.1539052425912,20.0147585904882,21.443295524505,21.5199954829684,18.136233741709,18.4350247637592,17.9473298142286
Bangladesh,BGD,0.198614945173835,0.202825216450886,0.190602088302059,0.1960157246649,0.21228704387473,0.242619015910051,0.247430419383157,0.244466359760847,0.282229561764266,0.26274226906589,0.332345776356542,0.319840388763731,0.334439662264521,0.352155282333371,0.37035987778582,0.372017165838757
Barbados,BRB,3.19900729487854,3.37929303524335,4.25617188345543,4.49988844265953,4.40304182509506,4.51117161582054,4.52500930090357,4.66016800055829,4.73999875499376,4.93817081671308,4.98639470622455,5.17874084749814,5.8711140760507,5.833678079191,5.43033845317385,5.58017761812104
Belarus,BLR,5.92097785433071,5.88307571414451,5.72028692025027,5.56243886397608,5.34418060969515,5.29772169621273,5.31073786112519,5.48346942941717,5.96481079136691,6.11242564420987,6.43786828404831,6.3056289748954,6.59274874055416,6.34193899232145,6.55654963119073,6.68251039797319
Belgium,BEL,11.6238342474975,11.3288520215357,11.6019145530416,11.2537074805951,11.2078472381417,11.1130394290808,10.3649114928841,11.041147410119,10.6426405295315,10.3350958432778,10.122879328871,9.71371759037052,9.69959896257442,9.63477575542354,9.98997552441917,8.84939830249506
Belize,BLZ,1.44157922817002,1.75400707555684,1.60827047753041,2.51601512818796,2.78755579996118,2.78991642776747,1.39854005690269,1.4306548459492,1.43447126790662,1.46276638931936,1.48823563805456,1.53609380602742,1.47319582578022,1.49518515569005,1.72170865865072,1.67090430233936
